epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,798.311,0.81461,0.63339,1.20032,0.98531,0.97811,0.99326,0.88934,0.52643,0.29693,0.93942,0.001189,0.001189,0.001189
91,831.265,0.61687,0.3673,1.05102,0.97854,0.97509,0.9927,0.87932,0.54398,0.31949,0.9547,0.00109,0.00109,0.00109
92,847.589,0.59434,0.33147,1.03233,0.97923,0.97832,0.99314,0.88619,0.53621,0.31498,0.95012,0.000991,0.000991,0.000991
93,863.579,0.58916,0.32172,1.03034,0.98134,0.98189,0.99347,0.88835,0.53451,0.30484,0.94473,0.000892,0.000892,0.000892
94,879.555,0.58601,0.31395,1.02252,0.97972,0.98147,0.99291,0.88932,0.52661,0.29741,0.9371,0.000793,0.000793,0.000793
95,895.636,0.57001,0.29987,1.01658,0.97947,0.98553,0.99326,0.89381,0.51147,0.29442,0.9305,0.000694,0.000694,0.000694
96,911.872,0.56938,0.30639,1.02388,0.98062,0.98663,0.99352,0.89209,0.51732,0.2894,0.93067,0.000595,0.000595,0.000595
97,927.801,0.54864,0.29063,0.99637,0.98391,0.98102,0.99388,0.89868,0.50876,0.28293,0.92609,0.000496,0.000496,0.000496
98,943.872,0.55771,0.28802,1.00131,0.98427,0.98923,0.9943,0.89825,0.50455,0.28322,0.92407,0.000397,0.000397,0.000397
99,959.909,0.54723,0.2862,0.99799,0.98189,0.98779,0.9939,0.90167,0.4965,0.27665,0.91888,0.000298,0.000298,0.000298
100,975.99,0.53456,0.27963,1.00228,0.98632,0.98158,0.994,0.90396,0.49236,0.27601,0.91974,0.000199,0.000199,0.000199
